id,sequence,task,choices,response,domain,response_type,conscientiousness,openness
1,1,All;B;A/Some;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,2,Some not;A;B/Some;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,3,All;A;B/No;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,4,Some;A;B/All;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some;C;A,syllogistic,single-choice,5.0,1.666667
1,5,All;A;B/Some;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some not;C;A,syllogistic,single-choice,5.0,1.666667
1,6,All;B;A/Some not;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,7,No;A;B/All;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,8,Some;A;B/No;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,9,Some;A;B/Some;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,10,All;B;A/No;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,11,No;B;A/Some;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,12,Some not;B;A/All;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some not;C;A,syllogistic,single-choice,5.0,1.666667
1,13,Some not;A;B/Some not;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,14,Some;B;A/Some not;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,15,No;B;A/Some not;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,16,Some not;B;A/No;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;A;C,syllogistic,single-choice,5.0,1.666667
1,17,Some not;B;A/Some;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,18,No;A;B/Some;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,19,Some;A;B/Some not;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some;A;C,syllogistic,single-choice,5.0,1.666667
1,20,All;B;A/All;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,All;C;A,syllogistic,single-choice,5.0,1.666667
1,21,All;B;A/Some;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some;A;C,syllogistic,single-choice,5.0,1.666667
1,22,No;A;B/Some;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,23,Some not;A;B/All;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some not;A;C,syllogistic,single-choice,5.0,1.666667
1,24,No;A;B/All;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;A;C,syllogistic,single-choice,5.0,1.666667
1,25,All;A;B/Some;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,26,All;B;A/Some not;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,27,No;A;B/Some not;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,28,All;A;B/Some not;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,29,Some not;A;B/No;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,30,Some;A;B/Some not;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,31,Some;B;A/Some;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,32,No;A;B/No;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,33,All;B;A/No;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,34,Some not;A;B/All;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some not;C;A,syllogistic,single-choice,5.0,1.666667
1,35,All;A;B/All;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,All;A;C,syllogistic,single-choice,5.0,1.666667
1,36,Some;A;B/All;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some;A;C,syllogistic,single-choice,5.0,1.666667
1,37,Some;B;A/All;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some;C;A,syllogistic,single-choice,5.0,1.666667
1,38,All;A;B/Some not;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some not;A;C,syllogistic,single-choice,5.0,1.666667
1,39,Some;B;A/No;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,40,Some;B;A/Some not;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,41,Some;B;A/No;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,42,No;B;A/Some;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,43,All;A;B/No;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;A;C,syllogistic,single-choice,5.0,1.666667
1,44,Some not;B;A/Some not;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,45,No;B;A/Some not;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,46,Some;A;B/Some;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,47,All;A;B/All;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,All;C;A,syllogistic,single-choice,5.0,1.666667
1,48,No;B;A/No;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,49,Some not;B;A/Some;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some not;C;A,syllogistic,single-choice,5.0,1.666667
1,50,Some not;A;B/Some not;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,51,Some not;B;A/All;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some not;C;A,syllogistic,single-choice,5.0,1.666667
1,52,No;B;A/All;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,No;C;A,syllogistic,single-choice,5.0,1.666667
1,53,Some not;B;A/No;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,54,Some not;A;B/No;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some;C;A,syllogistic,single-choice,5.0,1.666667
1,55,Some;B;A/All;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some;C;A,syllogistic,single-choice,5.0,1.666667
1,56,Some not;A;B/Some;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,57,No;A;B/Some not;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,58,All;B;A/All;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,All;A;C,syllogistic,single-choice,5.0,1.666667
1,59,No;B;A/No;B;C,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,NVC,syllogistic,single-choice,5.0,1.666667
1,60,Some not;B;A/Some not;C;B,All;A;C|All;C;A|Some;A;C|Some;C;A|No;A;C|No;C;A|Some not;A;C|Some not;C;A,Some not;C;A,syllogistic,single-choice,5.0,1.666667
